"Variable","Category","N","Percent","Prevalence","Lower","Upper","P_value"
"Gender","Male",441,76.8,14.3,11.3,17.9,"1.000"
"","Female",133,23.2,14.3,9.3,21.2,""
"Age group","<70 years",197,34.3,8.6,5.5,13.4,"0.005"
"","70 to 79 years",262,45.6,15.3,11.4,20.1,""
"",">=80 years",115,20,21.7,15.2,30.1,""
"Marital status","Married",431,75.1,13.7,10.8,17.3,"0.568"
"","Unmarried",143,24.9,16.1,11,23,""
"Residence area","Urban",418,72.8,13.2,10.3,16.7,"0.259"
"","Rural",156,27.2,17.3,12.2,24,""
"State of general practice","South Australia",321,55.9,14.6,11.2,18.9,"0.877"
"","Queensland",253,44.1,13.8,10.1,18.6,""
"Attained educational level","Degree or higher",63,11,9.5,4.4,19.3,"0.011"
"","Certificate to advanced diploma",218,38,11.9,8.3,16.9,""
"","Secondary",233,40.6,15,11,20.2,""
"","No schooling to primary",60,10.5,25,15.8,37.2,""
"Working status","Employed full or part time",92,16,12,6.8,20.2,"0.489"
"","Retired",124,21.6,12.1,7.5,19,""
"","Pensioner",358,62.4,15.6,12.2,19.8,""
"Perceived economic situation","Very high to higher",99,17.2,12.1,7.1,20,"0.486"
"","Similar to other people",359,62.5,14.5,11.2,18.5,""
"","Lower to very low",116,20.2,15.5,10,23.2,""
"Economic position (quintiles)","Highest",132,23,10.6,6.4,17,"<0.001"
"","High",178,31,9,5.6,14.1,""
"","Middle",89,15.5,14.6,8.7,23.4,""
"","Low",175,30.5,22.3,16.8,29,""
"History of revascularization procedure","No",158,27.5,15.2,10.4,21.6,"0.804"
"","Yes",416,72.5,13.9,10.9,17.6,""
"Time since first ischaemic episode","Up to 5 years",211,36.8,16.6,12.2,22.2,"0.768"
"","6-10 years",168,29.3,8.9,5.5,14.2,""
"","10+ years",190,33.1,15.8,11.3,21.6,""
"Number of other CVD conditions","0",352,61.3,11.9,8.9,15.7,"0.052"
"","1",142,24.7,17.6,12.2,24.7,""
"","2+",80,13.9,18.8,11.7,28.7,""
"Number of clinical CVD risk factors","0-1",128,22.3,12.5,7.8,19.3,"0.791"
"","2",211,36.8,15.6,11.4,21.1,""
"","3+",235,40.9,14,10.2,19.1,""
